name,price
Honda Navi,"44,389"
Honda Gold Wing,"27,32,995"
Honda CBR1000RR Fireblade,"18,48,896"
Honda CB1000R,"14,42,425"
Honda CBR 250R,"1,65,804"
Honda CB Unicorn 160,"76,279"
Honda CB Hornet 160R,"86,895"
Honda Africa Twin 2018,"13,30,997"
Honda X-Blade,"80,720"
Honda CB Shine SP,"63,763"
Honda CBR650F,"7,42,274"
Honda CB Unicorn 150,"73,029"
Honda Grazia,"60,695"
Honda CB Shine,"58,649"
Honda Activa 125,"59,699"
Honda Aviator [2018],"56,780"
Honda Activa 125 [2018],"61,245"
Honda Activa 5G,"54,643"
Honda Dream Neo,"52,149"
Honda Livo,"58,162"
Honda Dream Yuga,"54,881"
Honda Dio,"51,915"
Honda Aviator,"55,371"
Honda Activa i [2018],"51,633"
Honda Navi [2018],"46,398"
Honda Activa i,"51,194"
Honda CD 110 Dream,"49,663"
Honda Cliq,"45,579"
